BPEJ,klimaticky_region,hlavni_pudni_jednotka,sklonitost_a_expozice,skeletovitost_a_hloubka_pudy,rostlina_strom
0.01.00,0,1,0,0,Dub lesní
0.19.44,0,19,4,4,Dub lesní
0.40.77,0,40,7,7,Dub lesní
1.01.00,1,1,0,0,Dub lesní
1.18.44,1,18,4,4,Dub lesní
1.40.77,1,40,7,7,Dub lesní
2.01.00,2,1,0,0,Dub lesní
2.18.44,2,18,4,4,Dub lesní
2.40.77,2,40,7,7,Dub lesní
3.01.00,3,1,0,0,Dub lesní
3.15.53,3,15,5,3,Dub lesní
3.40.89,3,40,8,9,Dub lesní
4.01.00,4,1,0,0,Bříza lesní
4.15.43,4,15,4,3,Bříza lesní
4.40.77,4,40,7,7,Bříza lesní
5.08.00,5,8,0,0,Bříza lesní
5.18.44,5,18,4,4,Bříza lesní
5.40.77,5,40,7,7,Bříza lesní
6.12.00,6,12,0,0,Bříza lesní
6.22.43,6,22,4,3,Bříza lesní
6.40.77,6,40,7,7,Bříza lesní
7.11.00,7,11,0,0,Bříza lesní
7.21.43,7,21,4,3,Bříza lesní
7.40.77,7,40,7,7,Smrk lesní
8.18.14,8,18,1,4,Smrk lesní
8.34.41,8,34,4,1,Smrk lesní
8.77.89,8,77,8,9,Smrk lesní
9.18.14,9,18,1,4,Smrk lesní
9.36.41,9,36,4,1,Smrk lesní
9.78.89,9,78,8,9,Smrk lesní
