,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,28.00,22.54,68.94,962.71,429.56,648.00,17,33,55,24,6,2020
2,27.00,22.55,68.74,962.72,429.42,647.00,17,35,4,24,6,2020
3,8.00,22.57,69.08,962.76,429.14,647.00,17,36,5,24,6,2020
4,26.00,22.59,68.82,962.88,428.07,648.00,17,37,6,24,6,2020
5,25.00,22.59,68.60,962.90,427.92,647.00,17,38,7,24,6,2020
6,24.00,22.61,68.70,962.89,427.98,646.00,17,39,7,24,6,2020
7,24.00,22.61,68.69,962.86,428.22,646.00,17,40,7,24,6,2020
8,24.00,22.70,69.47,962.89,428.02,647.00,17,41,7,24,6,2020
9,27.00,22.69,68.84,962.87,428.12,646.00,17,42,7,24,6,2020
10,31.00,22.69,68.69,962.86,428.20,646.00,17,43,7,24,6,2020
11,32.00,22.71,68.91,962.85,428.35,647.00,17,44,7,24,6,2020
12,32.00,22.73,68.80,962.83,428.49,646.00,17,45,7,24,6,2020
13,35.00,22.74,68.62,962.79,428.86,646.00,17,46,7,24,6,2020
14,35.00,22.75,68.70,962.76,429.08,647.00,17,47,7,24,6,2020
15,36.00,22.77,68.69,962.80,428.74,647.00,17,48,8,24,6,2020
16,35.00,22.78,68.69,962.76,429.07,644.00,17,49,8,24,6,2020
17,34.00,22.80,68.68,962.75,429.17,648.00,17,50,8,24,6,2020
18,32.00,22.81,68.49,962.82,428.56,648.00,17,51,8,24,6,2020
19,32.00,22.81,68.69,962.78,428.96,647.00,17,52,8,24,6,2020
20,33.00,22.89,68.56,962.78,428.91,647.00,17,53,8,24,6,2020
