,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,0.00,22.50,71.22,959.74,455.34,660.00,11,3,21,26,6,2020
2,40.00,22.61,71.22,959.78,454.99,1020.00,11,4,21,26,6,2020
3,35.00,22.62,71.08,959.70,455.67,658.00,11,5,22,26,6,2020
4,35.00,22.61,71.10,959.67,455.97,657.00,11,6,22,26,6,2020
5,35.00,22.61,70.70,959.64,456.20,659.00,11,7,22,26,6,2020
6,32.00,22.60,70.57,959.70,455.68,658.00,11,8,22,26,6,2020
7,31.00,22.59,70.25,959.67,455.94,658.00,11,9,22,26,6,2020
8,34.00,22.59,70.29,959.67,455.94,657.00,11,10,22,26,6,2020
9,36.00,22.60,70.49,959.59,456.69,659.00,11,11,22,26,6,2020
10,38.00,22.60,70.51,959.61,456.50,657.00,11,12,22,26,6,2020
11,38.00,22.60,70.62,959.71,455.60,658.00,11,13,23,26,6,2020
12,35.00,22.60,70.47,959.64,456.19,655.00,11,14,23,26,6,2020
13,37.00,22.60,70.54,959.54,457.06,656.00,11,15,23,26,6,2020
14,38.00,22.60,70.49,959.58,456.71,658.00,11,16,23,26,6,2020
15,37.00,22.60,70.39,959.52,457.29,657.00,11,17,23,26,6,2020
16,37.00,22.61,70.46,959.54,457.07,658.00,11,18,23,26,6,2020
17,37.00,22.62,70.54,959.54,457.12,658.00,11,19,23,26,6,2020
18,37.00,22.61,70.58,959.56,456.92,659.00,11,20,24,26,6,2020
19,37.00,22.62,70.03,959.48,457.63,657.00,11,21,24,26,6,2020
20,37.00,22.63,69.99,959.54,457.05,657.00,11,22,24,26,6,2020
21,37.00,22.63,70.17,959.53,457.17,659.00,11,23,24,26,6,2020
22,37.00,22.63,70.25,959.52,457.22,655.00,11,24,24,26,6,2020
23,37.00,22.64,70.26,959.43,458.01,658.00,11,25,24,26,6,2020
24,38.00,22.64,70.31,959.40,458.29,658.00,11,26,25,26,6,2020
25,38.00,22.65,70.48,959.42,458.13,658.00,11,27,25,26,6,2020
26,39.00,22.65,70.38,959.39,458.38,658.00,11,28,25,26,6,2020
27,40.00,22.66,70.39,959.31,459.10,657.00,11,29,25,26,6,2020
28,40.00,22.66,70.37,959.38,458.51,658.00,11,30,25,26,6,2020
29,27.00,22.68,71.86,959.30,459.20,656.00,11,31,25,26,6,2020
30,40.00,22.68,70.49,959.31,459.08,657.00,11,32,25,26,6,2020
