,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,0.00,23.30,65.17,957.24,477.13,648.00,13,17,38,23,7,2020
2,46.00,23.33,65.06,957.28,476.79,646.00,13,18,39,23,7,2020
3,46.00,23.35,64.90,957.34,476.27,648.00,13,19,39,23,7,2020
4,40.00,23.35,64.91,957.25,477.02,647.00,13,20,39,23,7,2020
5,37.00,23.37,64.89,957.31,476.49,646.00,13,21,40,23,7,2020
6,34.00,23.37,64.91,957.26,476.96,646.00,13,22,40,23,7,2020
7,30.00,23.38,64.72,957.27,476.82,648.00,13,23,40,23,7,2020
8,28.00,23.38,64.80,957.32,476.39,647.00,13,24,41,23,7,2020
9,26.00,23.39,64.68,957.30,476.64,647.00,13,25,41,23,7,2020
10,26.00,23.39,64.65,957.26,476.96,646.00,13,26,41,23,7,2020
11,25.00,23.40,64.60,957.28,476.81,647.00,13,27,41,23,7,2020
12,24.00,23.41,64.61,957.22,477.26,647.00,13,28,41,23,7,2020
13,23.00,23.41,64.74,957.25,476.99,646.00,13,29,42,23,7,2020
14,24.00,23.43,64.70,957.25,477.05,649.00,13,30,42,23,7,2020
15,25.00,23.44,64.67,957.29,476.67,647.00,13,31,42,23,7,2020
16,29.00,23.44,64.74,957.18,477.66,646.00,13,32,43,23,7,2020
17,33.00,23.45,64.78,957.26,476.96,647.00,13,33,43,23,7,2020
18,36.00,23.46,64.67,957.18,477.65,647.00,13,34,43,23,7,2020
19,40.00,23.47,64.63,957.16,477.86,648.00,13,35,43,23,7,2020
20,41.00,23.48,64.56,957.21,477.36,648.00,13,36,43,23,7,2020
21,45.00,23.50,64.64,957.18,477.62,646.00,13,37,44,23,7,2020
22,37.00,23.50,64.59,957.12,478.14,646.00,13,38,44,23,7,2020
23,34.00,23.51,64.69,957.16,477.85,647.00,13,39,44,23,7,2020
24,33.00,23.52,64.63,957.15,477.89,647.00,13,40,44,23,7,2020
25,32.00,23.52,64.53,957.14,477.98,646.00,13,41,45,23,7,2020
26,32.00,23.53,64.44,957.15,477.87,647.00,13,42,45,23,7,2020
27,35.00,23.53,64.43,957.14,478.03,648.00,13,43,45,23,7,2020
28,38.00,23.55,64.45,957.11,478.21,646.00,13,44,46,23,7,2020
29,41.00,23.55,64.50,957.14,478.02,648.00,13,45,46,23,7,2020
30,45.00,23.56,64.46,957.12,478.08,648.00,13,46,46,23,7,2020
31,52.00,23.57,64.39,957.09,478.41,645.00,13,47,46,23,7,2020
32,60.00,23.58,64.42,957.12,478.19,646.00,13,48,47,23,7,2020
33,64.00,23.59,64.31,957.07,478.63,646.00,13,49,47,23,7,2020
34,53.00,23.59,64.27,957.13,478.04,647.00,13,50,47,23,7,2020
35,53.00,23.60,64.31,956.99,479.32,646.00,13,51,47,23,7,2020
36,52.00,23.61,64.33,957.03,478.94,646.00,13,52,47,23,7,2020
37,55.00,23.62,64.33,957.06,478.68,649.00,13,53,47,23,7,2020
38,60.00,23.63,64.26,957.03,478.96,647.00,13,54,47,23,7,2020
39,75.00,23.64,64.17,957.02,479.02,646.00,13,55,48,23,7,2020
40,70.00,23.65,64.17,957.07,478.57,647.00,13,56,48,23,7,2020
41,88.00,23.66,64.16,957.01,479.14,646.00,13,57,48,23,7,2020
