,MessageID,Temperature,Humidity,Altitude,Pressure,Latitude,Longitude,Hour,Minute,Second,Day,Month,Year
1,10172,31.04,47.890,452.733,960.041,0.000000,0.000000,15,45,30,11,8,2020
2,10174,31.04,47.855,453.000,960.010,0.000000,0.000000,15,45,32,11,8,2020
3,10176,31.04,47.912,453.462,959.957,0.000000,0.000000,15,45,34,11,8,2020
4,10177,31.04,47.912,453.426,959.961,0.000000,0.000000,15,45,35,11,8,2020
5,10181,31.04,47.822,453.195,959.987,0.000000,0.000000,15,45,39,11,8,2020
6,10182,31.03,47.879,453.267,959.979,0.000000,0.000000,15,45,40,11,8,2020
7,10186,31.05,47.892,453.203,959.987,0.000000,0.000000,15,45,44,11,8,2020
8,10188,31.05,47.892,453.475,959.955,0.000000,0.000000,15,45,46,11,8,2020
9,10189,31.05,47.835,453.280,959.978,0.000000,0.000000,15,45,47,11,8,2020
10,10191,31.05,47.835,453.208,959.986,0.000000,0.000000,15,45,49,11,8,2020
11,10192,31.05,47.756,453.093,959.999,0.000000,0.000000,15,45,50,11,8,2020
12,10201,31.08,47.814,452.919,960.019,0.000000,0.000000,15,46,9,11,8,2020
13,10203,31.08,47.827,453.309,959.974,0.000000,0.000000,15,46,11,11,8,2020
14,10204,31.09,47.771,453.352,959.969,0.000000,0.000000,15,46,12,11,8,2020
15,10206,31.09,47.839,452.968,960.014,0.000000,0.000000,15,46,14,11,8,2020
16,10207,31.09,47.862,453.198,959.987,0.000000,0.000000,15,46,15,11,8,2020
17,10212,31.10,47.782,453.552,959.946,0.000000,0.000000,15,46,20,11,8,2020
18,10215,31.09,47.816,453.127,959.995,0.000000,0.000000,15,46,23,11,8,2020
19,10217,31.10,47.795,453.250,959.981,0.000000,0.000000,15,46,25,11,8,2020
20,10219,31.11,47.818,452.989,960.011,0.000000,0.000000,15,46,27,11,8,2020
21,10220,31.11,47.739,452.989,960.011,0.000000,0.000000,15,46,28,11,8,2020
22,10222,31.10,47.726,453.055,960.004,0.000000,0.000000,15,46,30,11,8,2020
23,10223,31.10,47.738,452.557,960.061,0.000000,0.000000,15,46,31,11,8,2020
24,10225,31.10,47.568,452.673,960.047,0.000000,0.000000,15,46,33,11,8,2020
25,10227,31.10,47.523,452.983,960.012,0.000000,0.000000,15,46,35,11,8,2020
26,10228,31.11,47.456,452.757,960.038,0.000000,0.000000,15,46,36,11,8,2020
27,10229,31.11,47.411,452.837,960.029,0.000000,0.000000,15,46,37,11,8,2020
28,10232,31.13,47.231,452.504,960.067,0.000000,0.000000,15,46,40,11,8,2020
29,10235,31.15,47.086,452.756,960.038,0.000000,0.000000,15,46,43,11,8,2020
30,10238,31.16,47.064,452.994,960.010,0.000000,0.000000,15,46,46,11,8,2020
31,10240,31.17,47.122,452.885,960.023,0.000000,0.000000,15,46,48,11,8,2020
32,10241,31.17,47.122,452.848,960.027,0.000000,0.000000,15,46,49,11,8,2020
33,10244,31.18,47.045,453.049,960.004,0.000000,0.000000,15,46,52,11,8,2020
34,10246,31.19,46.829,452.942,960.017,0.000000,0.000000,15,46,54,11,8,2020
35,10249,31.20,46.751,452.834,960.029,0.000000,0.000000,15,46,57,11,8,2020
36,10251,31.20,46.739,452.680,960.047,0.000000,0.000000,15,46,59,11,8,2020
37,10254,31.20,46.796,453.296,959.976,0.000000,0.000000,15,47,2,11,8,2020
38,10259,31.19,46.977,452.977,960.013,0.000000,0.000000,15,47,7,11,8,2020
39,10261,31.18,47.021,453.470,959.956,0.000000,0.000000,15,47,9,11,8,2020
40,10265,31.15,47.074,453.254,959.981,0.000000,0.000000,15,47,13,11,8,2020
41,10266,31.15,46.995,453.449,959.958,0.000000,0.000000,15,47,14,11,8,2020
42,10268,31.15,47.052,453.174,959.990,0.000000,0.000000,15,47,16,11,8,2020
43,10269,31.14,46.994,453.094,959.999,0.000000,0.000000,15,47,17,11,8,2020
44,10270,31.13,47.106,453.161,959.991,0.000000,0.000000,15,47,18,11,8,2020
45,10271,31.14,47.130,452.743,960.039,0.000000,0.000000,15,47,19,11,8,2020
46,10273,31.13,47.333,453.659,959.934,0.000000,0.000000,15,47,21,11,8,2020
47,10274,31.13,47.354,453.232,959.983,0.000000,0.000000,15,47,22,11,8,2020
48,10279,31.09,47.488,453.358,959.969,0.000000,0.000000,15,47,27,11,8,2020
49,10282,31.07,47.770,453.106,959.998,0.000000,0.000000,15,47,30,11,8,2020
50,10285,31.06,47.790,453.483,959.954,0.000000,0.000000,15,47,33,11,8,2020
51,10286,31.06,47.813,452.949,960.012,0.000000,0.000000,15,47,34,11,8,2020
52,10288,31.06,47.824,453.136,959.994,0.000000,0.000000,15,47,36,11,8,2020
53,10289,31.06,47.734,453.296,959.976,0.000000,0.000000,15,47,37,11,8,2020
54,10291,31.06,47.608,453.021,960.008,0.000000,0.000000,15,47,39,11,8,2020
55,10292,31.06,47.563,453.057,960.003,0.000000,0.000000,15,47,40,11,8,2020
56,10303,31.11,47.389,453.530,959.949,0.000000,0.000000,15,47,51,11,8,2020
57,10305,31.12,47.378,452.961,960.014,0.000000,0.000000,15,47,53,11,8,2020
58,10308,31.12,47.321,453.192,959.988,0.000000,0.000000,15,47,56,11,8,2020
59,10313,31.11,47.456,453.104,959.998,0.000000,0.000000,15,48,1,11,8,2020
60,10314,31.11,47.445,453.415,959.962,0.000000,0.000000,15,48,2,11,8,2020
61,10316,31.12,47.321,453.076,959.997,0.000000,0.000000,15,48,4,11,8,2020
62,10317,31.12,47.310,452.921,960.019,0.000000,0.000000,15,48,5,11,8,2020
63,10318,31.12,47.265,453.615,959.939,0.000000,0.000000,15,48,6,11,8,2020
64,10320,31.13,47.187,453.125,959.995,0.000000,0.000000,15,48,8,11,8,2020
65,10321,31.14,47.119,453.246,959.982,0.000000,0.000000,15,48,9,11,8,2020
66,10323,31.15,47.018,453.369,959.967,0.000000,0.000000,15,48,11,11,8,2020
67,10329,31.17,46.793,453.310,959.974,0.000000,0.000000,15,48,17,11,8,2020
68,10332,31.18,46.760,453.239,959.982,0.000000,0.000000,15,48,20,11,8,2020
69,10335,31.18,46.760,452.856,960.026,0.000000,0.000000,15,48,23,11,8,2020
70,10336,31.19,46.716,453.288,959.977,0.000000,0.000000,15,48,24,11,8,2020
71,10337,31.18,46.704,453.396,959.964,0.000000,0.000000,15,48,25,11,8,2020
72,10341,31.18,46.795,453.627,959.938,0.000000,0.000000,15,48,29,11,8,2020
73,10342,31.18,46.728,453.244,959.982,0.000000,0.000000,15,48,30,11,8,2020
74,10344,31.19,46.716,453.324,959.973,0.000000,0.000000,15,48,32,11,8,2020
75,10346,31.19,46.728,452.977,960.013,0.000000,0.000000,15,48,34,11,8,2020
76,10351,31.18,46.783,453.319,959.973,0.000000,0.000000,15,48,39,11,8,2020
77,10353,31.18,46.795,453.396,959.964,0.000000,0.000000,15,48,41,11,8,2020
78,10354,31.18,46.873,453.319,959.973,0.000000,0.000000,15,48,42,11,8,2020
79,10361,31.15,47.132,453.298,959.976,0.000000,0.000000,15,48,49,11,8,2020
80,10369,31.12,47.479,453.499,959.953,0.000000,0.000000,15,48,57,11,8,2020
81,10370,31.12,47.389,453.494,959.953,0.000000,0.000000,15,48,58,11,8,2020
82,10373,31.12,47.298,453.458,959.957,0.000000,0.000000,15,49,1,11,8,2020
83,10375,31.12,47.241,453.192,959.988,0.000000,0.000000,15,49,3,11,8,2020
84,10376,31.12,47.287,453.112,959.997,0.000000,0.000000,15,49,4,11,8,2020
85,10378,31.11,47.265,453.184,959.989,0.000000,0.000000,15,49,6,11,8,2020
86,10379,31.11,47.252,452.989,960.011,0.000000,0.000000,15,49,7,11,8,2020
