,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,0.00,27.37,48.79,959.45,457.88,649.00,15,57,22,11,8,2020
2,56.00,27.38,48.94,959.48,457.63,647.00,15,58,22,11,8,2020
3,55.00,27.39,49.15,959.50,457.45,647.00,15,59,23,11,8,2020
4,55.00,27.39,49.35,959.50,457.45,648.00,16,0,23,11,8,2020
5,55.00,27.39,49.26,959.50,457.45,648.00,16,1,23,11,8,2020
6,55.00,27.39,49.63,959.49,457.48,648.00,16,2,23,11,8,2020
7,55.00,27.39,49.63,959.45,457.84,648.00,16,3,23,11,8,2020
8,55.00,27.38,49.64,959.48,457.63,649.00,16,4,24,11,8,2020
9,54.00,27.39,49.24,959.53,457.21,648.00,16,5,24,11,8,2020
10,54.00,27.39,49.58,959.51,457.33,647.00,16,6,24,11,8,2020
11,53.00,27.38,49.40,959.52,457.27,647.00,16,7,24,11,8,2020
12,52.00,27.37,49.38,959.49,457.54,648.00,16,8,25,11,8,2020
13,50.00,27.37,49.31,959.53,457.17,649.00,16,9,25,11,8,2020
14,50.00,27.37,49.08,959.56,456.90,649.00,16,10,25,11,8,2020
15,50.00,27.36,49.03,959.53,457.19,646.00,16,11,25,11,8,2020
16,49.00,27.35,49.10,959.53,457.15,648.00,16,12,25,11,8,2020
17,49.00,27.35,49.09,959.56,456.87,648.00,16,13,26,11,8,2020
18,48.00,27.36,49.43,959.48,457.60,649.00,16,14,26,11,8,2020
19,47.00,27.36,49.27,959.54,457.09,648.00,16,15,26,11,8,2020
20,46.00,27.36,49.41,959.50,457.43,649.00,16,16,26,11,8,2020
21,46.00,27.35,49.09,959.53,457.15,648.00,16,17,26,11,8,2020
22,46.00,27.35,48.94,959.53,457.22,647.00,16,18,27,11,8,2020
23,46.00,27.34,48.92,959.55,457.02,647.00,16,19,27,11,8,2020
24,46.00,27.34,49.12,959.57,456.82,647.00,16,20,27,11,8,2020
25,45.00,2734,49.17,959.52,457.25,648.00,16,21,27,11,8,2020
26,46.00,27.35,49.29,959.57,456.86,649.00,16,22,28,11,8,2020
27,45.00,27.34,48.95,959.49,457.53,649.00,16,23,28,11,8,2020
28,45.00,27.34,48.90,959.53,457.17,650.00,16,24,28,11,8,2020
29,37.00,27.34,49.03,959.54,457.05,648.00,16,25,28,11,8,2020
30,31.00,27.33,49.06,959.51,457.31,647.00,16,26,29,11,8,2020
31,30.00,27.34,49.01,959.51,457.33,648.00,16,27,29,11,8,2020
32,30.00,27.34,49.15,959.48,457.60,648.00,16,28,29,11,8,2020
33,40.00,27.34,49.17,959.49,457.48,648.00,16,29,30,11,8,2020
34,42.00,27.33,49.01,959.57,456.84,648.00,16,30,30,11,8,2020
35,41.00,27.32,49.29,959.52,457.30,648.00,16,31,30,11,8,2020
36,41.00,27.33,48.89,959.47,457.74,647.00,16,32,30,11,8,2020
37,39.00,27.31,48.71,959.55,457.04,648.00,16,33,31,11,8,2020
38,40.00,27.31,48.20,959.56,456.96,649.00,16,34,31,11,8,2020
39,38.00,27.32,48.64,959.57,456.83,647.00,16,35,31,11,8,2020
40,39.00,27.32,48.88,959.55,457.02,648.00,16,36,31,11,8,2020
