,MessageID,Temperature,Humidity,Altitude,Pressure,Latitude,Longitude,Hour,Minute,Second,Day,Month,Year
1,1,nan,nan,nan,nan,0.000000,0.000000,13,30,39,12,8,2020
2,3,27.95,57.518,438.682,961.657,0.000000,0.000000,13,30,41,12,8,2020
3,4,27.95,57.318,439.034,961.617,0.000000,0.000000,13,30,42,12,8,2020
4,6,27.95,56.589,439.148,961.604,0.000000,0.000000,13,30,44,12,8,2020
5,7,27.95,56.050,438.575,961.670,0.000000,0.000000,13,30,45,12,8,2020
6,10,27.96,55.197,438.579,961.656,0.000000,0.000000,13,30,48,12,8,2020
7,14,27.98,54.930,438.822,961.641,0.000000,0.000000,13,30,52,12,8,2020
8,15,27.99,54.875,438.676,961.658,0.000000,0.000000,13,30,53,12,8,2020
9,17,28.00,54.809,438.761,961.648,0.000000,0.000000,13,30,55,12,8,2020
10,20,28.02,54.599,438.741,961.650,0.000000,0.000000,13,30,58,12,8,2020
11,21,28.03,54.588,438.898,961.632,0.000000,0.000000,13,30,59,12,8,2020
12,23,28.04,54.444,438.335,961.697,0.000000,0.000000,13,31,1,12,8,2020
13,24,28.05,54.445,438.994,961.621,0.000000,0.000000,13,31,2,12,8,2020
14,25,28.06,54.411,439.265,961.590,0.000000,0.000000,13,31,3,12,8,2020
15,28,28.09,54.157,438.447,961.684,0.000000,0.000000,13,31,6,12,8,2020
16,29,28.11,54.182,438.612,961.665,0.000000,0.000000,13,31,7,12,8,2020
17,30,28.12,54.104,438.810,961.643,0.000000,0.000000,13,31,8,12,8,2020
18,35,28.17,53.942,438.965,961.625,0.000000,0.000000,13,31,13,12,8,2020
19,37,28.18,53.877,438.863,961.636,0.000000,0.000000,13,31,15,12,8,2020
20,38,28.20,53.833,438.947,961.627,0.000000,0.000000,13,31,16,12,8,2020
21,51,28.34,53.546,438.899,961.632,0.000000,0.000000,13,31,29,12,8,2020
22,53,28.36,53.447,439.147,961.604,0.000000,0.000000,13,31,31,12,8,2020
23,54,28.37,53.483,438.773,961.647,0.000000,0.000000,13,31,32,12,8,2020
24,55,28.38,53.461,439.237,961.593,0.000000,0.000000,13,31,33,12,8,2020
25,59,28.42,53.286,438.929,961.629,0.000000,0.000000,13,31,37,12,8,2020
26,60,28.43,53.265,439.049,961.615,0.000000,0.000000,13,31,38,12,8,2020
27,62,28.45,53.189,438.952,961.626,0.000000,0.000000,13,31,40,12,8,2020
28,63,28.47,53.146,439.114,961.607,0.000000,0.000000,13,31,41,12,8,2020
29,64,28.47,53.146,439.537,961.559,0.000000,0.000000,13,31,42,12,8,2020
30,75,28.60,52.914,438.910,961.631,0.000000,0.000000,13,31,53,12,8,2020
31,79,28.65,52.773,438.982,961.623,0.000000,0.000000,13,31,57,12,8,2020
32,82,28.68,52.698,439.199,961.598,0.000000,0.000000,13,32,0,12,8,2020
33,87,28.73,52.603,438.509,961.677,0.000000,0.000000,13,32,5,12,8,2020
34,89,28.75,52.515,439.253,961.592,0.000000,0.000000,13,32,7,12,8,2020
35,90,28.76,52.550,439.223,961.595,0.000000,0.000000,13,32,8,12,8,2020
36,94,28.80,52.442,439.294,961.587,0.000000,0.000000,13,32,12,12,8,2020
37,97,28.84,52.424,439.018,961.619,0.000000,0.000000,13,32,15,12,8,2020
38,99,28.86,52.314,439.184,961.599,0.000000,0.000000,13,32,17,12,8,2020
39,102,28.89,52.273,439.289,961.587,0.000000,0.000000,13,32,20,12,8,2020
