,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,55.00,25.60,57.02,952.56,517.97,648.00,21,18,36,19,8,2020
2,55.00,25.60,56.99,952.56,517.97,648.00,21,19,36,19,8,2020
3,55.00,25.60,56.94,952.59,517.73,648.00,21,20,36,19,8,2020
4,55.00,25.61,56.93,952.63,517.38,648.00,21,21,36,19,8,2020
5,55.00,25.61,56.95,952.62,517.46,647.00,21,22,36,19,8,2020
6,55.00,25.61,57.04,952.60,517.66,647.00,21,23,36,19,8,2020
7,54.00,25.61,57.00,952.62,517.46,648.00,21,24,37,19,8,2020
8,55.00,25.62,56.94,952.68,516.96,648.00,21,25,37,19,8,2020
9,55.00,25.63,57.01,952.63,517.42,648.00,21,26,37,19,8,2020
10,55.00,25.63,56.98,952.68,516.98,649.00,21,27,37,19,8,2020
11,55.00,25.63,56.92,952.68,516.98,648.00,21,28,37,19,8,2020
12,55.00,25.65,56.89,952.71,516.68,648.00,21,29,38,19,8,2020
13,55.00,25.63,56.90,952.70,516.74,648.00,21,30,38,19,8,2020
14,55.00,25.63,56.85,952.72,516.58,647.00,21,31,38,19,8,2020
15,55.00,25.64,56.82,952.72,516.64,648.00,21,32,38,19,8,2020
16,55.00,25.64,56.88,952.76,516.24,648.00,21,33,38,19,8,2020
17,55.00,25.64,56.88,952.67,517.03,649.00,21,34,38,19,8,2020
