,MessageID,Temperature,Humidity,Altitude,Pressure,Latitude,Longitude,Hour,Minute,Second,Day,Month,Year
1,2,28.91,57.865,508.495,953.647,0.000000,0.000000,0,53,53,20,8,2020
2,3,28.94,57.115,508.290,953.670,0.000000,0.000000,0,53,54,20,8,2020
3,4,28.96,56.185,508.650,953.629,0.000000,0.000000,0,53,55,20,8,2020
4,7,29.01,54.536,508.736,953.659,0.000000,0.000000,0,53,58,20,8,2020
5,8,29.02,54.178,508.322,953.666,0.000000,0.000000,0,53,59,20,8,2020
6,12,29.08,53.454,508.264,953.673,0.000000,0.000000,0,54,3,20,8,2020
7,14,29.10,53.198,508.745,953.618,0.000000,0.000000,0,54,5,20,8,2020
8,15,29.11,53.052,508.290,953.670,0.000000,0.000000,0,54,6,20,8,2020
9,18,29.16,52.844,508.713,953.622,0.000000,0.000000,0,54,9,20,8,2020
10,19,29.17,52.823,508.575,953.637,0.000000,0.000000,0,54,10,20,8,2020
11,20,29.19,52.713,508.669,953.627,0.000000,0.000000,0,54,11,20,8,2020
12,22,29.22,52.614,508.269,953.672,0.000000,0.000000,0,54,13,20,8,2020
13,24,29.25,52.481,508.601,953.634,0.000000,0.000000,0,54,15,20,8,2020
