,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,0.00,23.95,62.61,980.07,280.02,650.00,9,43,34,20,8,2020
2,268.00,24.32,61.44,980.10,279.71,648.00,9,44,34,20,8,2020
3,164.00,24.43,58.39,980.12,279.53,648.00,9,45,34,20,8,2020
4,287.00,24.64,58.81,980.07,280.02,650.00,9,46,35,20,8,2020
5,373.00,24.74,60.40,980.08,279.91,649.00,9,47,35,20,8,2020
6,369.00,24.86,58.94,980.13,279.46,649.00,9,48,35,20,8,2020
7,364.00,24.90,57.50,980.08,279.90,650.00,9,49,36,20,8,2020
8,295.00,24.93,57.07,980.11,279.63,648.00,9,50,36,20,8,2020
9,305.00,24.97,56.96,980.05,280.14,648.00,9,51,36,20,8,2020
10,356.00,25.07,56.98,980.12,279.57,648.00,9,52,37,20,8,2020
