,Light,Temperature,Humidity,Pressure,Altitude,SoilHum,Hour,Minute,Second,Day,Month,Year
1,0.00,26.63,43.18,981.41,268.54,644.00,14,36,11,20,8,2020
2,19.00,26.33,45.55,981.45,268.16,645.00,14,37,11,20,8,2020
3,18.00,26.12,45.27,981.44,268.25,644.00,14,38,11,20,8,2020
4,17.00,25.74,46.45,981.45,268.17,645.00,14,39,12,20,8,2020
5,10.00,25.92,46.35,981.44,268.31,643.00,14,40,12,20,8,2020
6,50.00,25.90,45.72,981.41,268.56,644.00,14,41,12,20,8,2020
7,72.00,25.94,46.59,981.47,267.99,645.00,14,42,13,20,8,2020
8,31.00,25.92,47.92,981.45,268.20,644.00,14,43,13,20,8,2020
9,32.00,25.88,48.40,981.45,268.19,646.00,14,44,14,20,8,2020
10,30.00,25.92,46.22,981.41,268.54,644.00,14,45,14,20,8,2020
11,36.00,25.89,46.02,981.46,268.12,643.00,14,46,14,20,8,2020
12,27.00,25.86,45.74,981.46,268.13,644.00,14,47,14,20,8,2020
13,25.00,25.86,46.50,981.44,268.28,643.00,14,48,15,20,8,2020
14,89.00,25.84,49.04,981.35,269.07,640.00,14,49,15,20,8,2020
15,305.00,25.95,49.38,981.30,269.44,644.00,14,50,15,20,8,2020
16,20.00,26.18,47.90,981.19,270.38,644.00,14,51,15,20,8,2020
17,116.00,26.49,48.24,981.16,270.76,645.00,14,52,15,20,8,2020
18,8180.00,28.00,45.07,981.13,270.91,643.00,14,53,16,20,8,2020
